pointid,grid_code
175,0.0000063
176,0.0000034
177,0.0000020
178,0.0000024
179,0.0000103
180,0.0000432
181,0.0001815
182,0.0007635
183,0.0032112
184,0.0135048
185,0.0567604
186,0.2382400
187,0.9975290
188,4.1622400
189,17.3164997
190,72.0000000
191,0.0000870
192,0.0070111
193,0.0249562
194,0.0355940
195,0.0341055
196,0.0267282
197,0.0186477
198,0.0120797
199,0.0074412
200,0.0044234
201,0.0025617
202,0.0014544
203,0.0008128
204,0.0004484
205,0.0002446
206,0.0001321
207,0.0000708
208,0.0000377
209,0.0000200
210,0.0000105
211,0.0000055
212,0.0000029
213,0.0000017
214,0.0000017
215,0.0000022
216,0.0000094
217,0.0000396
218,0.0001671
219,0.0007062
220,0.0029884
221,0.0126664
222,0.0537737
223,0.2285960
224,0.9720360
225,4.1214099
226,17.3071995
227,72.0000000
228,0.0129176
229,0.1243380
230,0.1905170
231,0.1733260
232,0.1265440
233,0.0825944
234,0.0504944
235,0.0296444
236,0.0168944
237,0.0093944
238,0.0051944
239,0.0027944
240,0.0015123
241,0.0007623
242,0.0004623
243,0.0001623
244,0.0001623
245,0.0000123
246,0.0000123
247,0.0000123
248,0.0000085
249,0.0000044
250,0.0000023
251,0.0000023
252,0.0000014
253,0.0000019
254,0.0000081
255,0.0000341
256,0.0001441
257,0.0006093
258,0.0025831
259,0.0109853
260,0.0469180
261,0.2015420
262,0.8726850
263,3.8200901
264,16.8848000
265,72.0000000
266,0.6113390
267,1.0628600
268,0.8860920
269,0.5866800
270,0.3531940
271,0.2019940
272,0.1121440
273,0.0609944
274,0.0326444
275,0.0173444
276,0.0090944
277,0.0047444
278,0.0025623
279,0.0013623
280,0.0006123
281,0.0003123
282,0.0001623
283,0.0001623
284,0.0000123
285,0.0000123
286,0.0000123
287,0.0000063
288,0.0000032
289,0.0000032
290,0.0000019
291,0.0000016
292,0.0000065
293,0.0000271
294,0.0001137
295,0.0004767
296,0.0020028
297,0.0084337
298,0.0356325
299,0.1513160
300,0.6481430
301,2.8239100
302,12.8723001
303,72.0000000
304,6.6289201
305,4.5273199
306,2.6062500
307,1.4225500
308,0.7568440
309,0.3969940
310,0.2063440
311,0.1065940
312,0.0548444
313,0.0281444
314,0.0144944
315,0.0074444
316,0.0037623
317,0.0019623
318,0.0009123
319,0.0004623
320,0.0003123
321,0.0001623
322,0.0000123
323,0.0000123
324,0.0000123
325,0.0000085
326,0.0000043
327,0.0000043
328,0.0000022
329,0.0000013
330,0.0000011
331,0.0000047
332,0.0000195
333,0.0000802
334,0.0003294
335,0.0013487
336,0.0055012
337,0.0223073
338,0.0895898
339,0.3535130
340,1.3408500
341,4.4442201
342,72.0000000
343,22.3134003
344,10.5008001
345,5.1691999
346,2.5670300
347,1.2804900
348,0.6404440
349,0.3209440
350,0.1610440
351,0.0809444
352,0.0405944
353,0.0204944
354,0.0102944
355,0.0052623
356,0.0025623
357,0.0013623
358,0.0006123
359,0.0003123
360,0.0001623
361,0.0000123
362,0.0000123
363,0.0000123
364,0.0000108
365,0.0000055
366,0.0000055
367,0.0000028
368,0.0000017
369,0.0000031
370,0.0000125
371,0.0000498
372,0.0001967
373,0.0007684
374,0.0029496
375,0.0110217
376,0.0393640
377,0.1289720
378,0.3446710
379,0.4317030
380,72.0000000
381,33.5228004
382,15.6578999
383,7.4922900
384,3.6313701
385,1.7751900
386,0.8729440
387,0.4310440
388,0.2136940
389,0.1061440
390,0.0528944
391,0.0263444
392,0.0131444
393,0.0066123
394,0.0033123
395,0.0016623
396,0.0007623
397,0.0004623
398,0.0001623
399,0.0001623
400,0.0000123
401,0.0000123
402,0.0000132
403,0.0000066
404,0.0000066
405,0.0000033
406,0.0000019
407,0.0000018
408,0.0000070
409,0.0000267
410,0.0000999
411,0.0003631
412,0.0012686
413,0.0041660
414,0.0123098
415,0.0296205
416,0.0433531
417,0.0093579
418,72.0000000
419,36.3797989
420,17.9064007
421,8.7731199
422,4.3018899
423,2.1144900
424,1.0421400
425,0.5148940
426,0.2549440
427,0.1265440
428,0.0627944
429,0.0312944
430,0.0155444
431,0.0078123
432,0.0039123
433,0.0019623
434,0.0009123
435,0.0004623
436,0.0003123
437,0.0001623
438,0.0000123
439,0.0000123
440,0.0000153
441,0.0000077
442,0.0000077
443,0.0000039
444,0.0000019
445,0.0000012
446,0.0000034
447,0.0000123
448,0.0000426
449,0.0001403
450,0.0004302
451,0.0011794
452,0.0026664
453,0.0041280
454,0.0025264
455,0.0000410
456,72.0000000
457,36.4500008
458,18.3446999
459,9.1841002
460,4.5812101
461,2.2809899
462,1.1349900
463,0.5646940
464,0.2810440
465,0.1400440
466,0.0698444
467,0.0347444
468,0.0173444
469,0.0087123
470,0.0043623
471,0.0021123
472,0.0010623
473,0.0006123
474,0.0003123
475,0.0001623
476,0.0000123
477,0.0000123
478,0.0000171
479,0.0000086
480,0.0000086
481,0.0000043
482,0.0000022
483,0.0000014
484,0.0000015
485,0.0000048
486,0.0000151
487,0.0000438
488,0.0001136
489,0.0002465
490,0.0003931
