pointid,grid_code
1223,0.0000386
1224,0.0000310
1225,0.0000240
1226,0.0000180
1227,0.0000132
1228,0.0000095
1229,0.0000067
1230,0.0000047
1231,0.0000032
1232,0.0000022
1233,0.0000015
1234,0.0000020
1235,0.0000050
1236,0.0000091
1237,0.0000129
1238,0.0000155
1239,0.0000165
1240,0.0000160
1241,0.0000145
1242,0.0000124
1243,0.0000101
1244,0.0000080
1245,0.0000061
1246,0.0000046
1247,0.0000033
1248,0.0000024
1249,0.0000017
1250,0.0000012
1251,0.0000017
1252,0.0000028
1253,0.0000039
1254,0.0000047
1255,0.0000050
1256,0.0000050
1257,0.0000046
1258,0.0000040
1259,0.0000033
1260,0.0000027
1261,0.0000021
1262,0.0000016
1263,0.0000012
1264,0.0000012
1265,0.0000014
1266,0.0000015
1267,0.0000015
1268,0.0000014
1269,0.0000013
1270,0.0000011
1271,0.0000012
1272,0.0000015
1273,0.0000038
1274,0.0000065
1275,0.0000020
1276,0.0000026
1277,0.0000030
1278,0.0000031
1279,0.0000029
1280,0.0000026
1281,0.0000021
1282,0.0000017
1283,0.0000013
1284,0.0000039
1285,0.0000116
1286,0.0000216
1287,0.0000304
1288,0.0000089
1289,0.0000124
1290,0.0000126
1291,0.0000142
1292,0.0000114
1293,0.0000094
1294,0.0000085
1295,0.0000072
1296,0.0000052
1297,0.0000035
1298,0.0000026
1299,0.0000010
1300,0.0000088
1301,0.0000342
1302,0.0000715
1303,0.0001045
1304,0.0001324
1305,0.0000489
1306,0.0000488
1307,0.0000459
1308,0.0000445
1309,0.0000382
1310,0.0000290
1311,0.0000219
1312,0.0000183
1313,0.0000135
1314,0.0000093
1315,0.0000061
1316,0.0000042
1317,0.0000013
1318,0.0000150
1319,0.0000945
1320,0.0002338
1321,0.0003612
1322,0.0004613
1323,0.0005029
1324,0.0003026
1325,0.0001408
1326,0.0001226
1327,0.0001030
1328,0.0000850
1329,0.0000700
1330,0.0000583
1331,0.0000495
1332,0.0000145
1333,0.0000101
1334,0.0000071
1335,0.0000051
1336,0.0000038
1337,0.0000029
1338,0.0000014
1339,0.0000014
1340,0.0000129
1341,0.0002264
1342,0.0007481
1343,0.0012554
1344,0.0014956
1345,0.0014979
1346,0.0013419
1347,0.0005536
1348,0.0003349
1349,0.0002644
1350,0.0002024
1351,0.0001524
1352,0.0001146
1353,0.0000872
1354,0.0000680
1355,0.0000262
1356,0.0000174
1357,0.0000116
1358,0.0000078
1359,0.0000054
1360,0.0000039
1361,0.0000029
1362,0.0000014
1363,0.0003800
